group,kind,submission_id,roc_auc,roc_auc_pval,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_pval,average_precision_ci_low,average_precision_ci_high,best_sensitivity,best_sensitivity_ci_low,best_sensitivity_ci_high,best_specificity,best_specificity_ci_low,best_specificity_ci_high,concordance_index,concordance_index_pval,concordance_index_ci_low,concordance_index_ci_high,integrated_brier_score,integrated_brier_score_pval,integrated_brier_score_ci_low,integrated_brier_score_ci_high
challenge,3,0,0.7303311775033388,9.999000099990002e-05,0.6786614096427125,0.7807213277111686,0.325446042272041,9.999000099990002e-05,0.2611666232010145,0.41812191846197677,0.49514563106796117,0.39805825242718446,0.5922330097087378,0.8160741885625966,0.7867078825347759,0.8454404945904173,0.7497287522603978,9.999000099990002e-05,0.7067624581107503,0.7901621292024739,0.053407186260064105,1.0,0.048875726632559235,0.058015536828284996
challenge,combined,ensemble,0.7303311775033388,9.999000099990002e-05,0.6766521360723878,0.7814423553067931,0.325446042272041,9.999000099990002e-05,0.26277623181896004,0.41932304085135474,0.49514563106796117,0.39805825242718446,0.5922330097087378,0.8160741885625966,0.7867078825347759,0.8454404945904173,0.7497287522603978,9.999000099990002e-05,0.7059470125022155,0.7913594784523381,0.053407186260064105,1.0,0.04884315586851441,0.05804011637336597
